N,beta,cov_xm,method,par,COVERAGE,RMSE,RSEbias,STDbias,REPLICATIONS,N_lab,beta_lab,cov_xm_lab
5000,0.15,0.8,fs,m,0.0605,0.06347250585883622,-0.019534168115391437,-3.5180031362079665,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,fs,x,0.7255,0.02973640025288872,-0.02388026212554184,1.3349295530348726,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,fs,xm,0.874,0.019284553404214474,-0.04237317080794345,0.7262457331591013,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,m,0.9285,0.039472066072097106,-0.0014635690238771204,-0.5277583448377864,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,x,0.923,0.038932043357625096,-0.012434876771660663,0.46043587635328903,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,xm,0.849,0.021110352910361306,-0.02883830158014733,0.8792106784642617,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.2,0.8,fs,m,0.792,0.024417544921633692,-0.02847741154252803,-1.1049890855809044,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,fs,x,0.9475,0.016602650390826156,-0.025537966380892563,0.1186090689333518,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,fs,xm,0.41700000000000004,0.03354978390392401,-0.04241819132088542,-2.0913484445259996,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,m,0.86,0.04362551432361572,0.006135370666332074,0.8773613854543789,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,x,0.9015,0.03951516797383001,-0.0022530697464858696,-0.6324966774789095,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,xm,0.5175000000000001,0.033299301794482095,-0.0013836576604279172,-1.9299054676378489,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
